puesto,ciudad,fecha
Front-End Developer,Barcelona,19/03/13
Frontend Developer Junior,Barcelona,10/02/16
FrontEnd Developer,Barcelona,21/07/15
Programador AS2/AS3 Front-End,Madrid,09/01/09
FRONT-END DEVELOPER,Madrid,18/05/11
Frontend Developer,Madrid,24/03/14
Maquetador front-end,Madrid,29/03/16
Interface Developer / Front End Developer,Madrid,19/08/15
Maquetador  Web/Mobile/Front-end,Madrid,09/04/13
Programador Front End,Madrid,12/12/14
Desarrollador/a Web Frontend,Sevilla,07/07/14
Frontend Senior Developer,Palma,13/07/16
Desarrollador Frontend,Madrid,30/01/17
Front End Developer,Barcelona,14/12/16
Programador/a experto/a en Front End FANtástico/a!,Barcelona,08/09/15
Desarrollador (Front/Back),Las Rozas,17/06/16
Adventurous backend/frontend webapp hackers (English rqd.),Indiferente,09/08/13
Becario Desarrollador Front-end,Zaragoza,14/01/14
Front End Developer / Maquetador web.,Barcelona,21/02/11
Front End developer en dooplan.com,Barcelona,13/08/12
Front-end Developer,Madrid,26/04/15
Front end developer,Valencia,29/10/15
Frontend Web Developer,En remoto,14/12/16
Senior Front-End Developer,Madrid,24/04/14
Front End Developer,Madrid,16/04/14
Front-end Developer,Barcelona,12/01/16
Programador web freelance back/front end,Barcelona,26/01/12
Frontend Developer Freelance,En remoto,24/12/13
Front end / Back end SENIOR FREELANCE,Oviedo,16/06/15
Senior Front-end Developer,Barcelona,17/12/13
Senior en Front-End Freelance (ActionScript3/Flash/HTML5),Madrid,08/05/14
Maquetador Front-End,Madrid,06/07/15
Programador frontend junior,Madrid,21/03/11
Programador FRONT Joomla/Wordpress media jornada,Madrid,28/03/11
Desarrollador/a front-end con nociones de diseño,Barcelona,21/03/14
Frontend Senior,Barcelona,06/12/16
Programador front / back Wordpress,Sevilla,03/01/14
Front-end senior,Barcelona,30/03/16
Desarrollador Front-End,Madrid,27/12/11
Desarrollador Front-End,Madrid,06/03/17
Frontend developer,Madrid,13/02/13
Desarrollador Frontend,Madrid,19/01/16
Web Designer/Frontend Developer,Madrid,06/04/10
Frontend developer (XHTML/CSS/JS),Barcelona,05/05/09
FRONT-END WEB DEVELOPER,Barcelona,05/02/12
Front End- Profile Software Services,Barcelona,19/05/14
PROGRAMADOR FRONTEND,Baracaldo,02/01/12
Desarrollador Front-End Jr,Barcelona,20/05/15
Desarrollador Frontend,Valencia,05/06/15
Programador back+front freelance,Madrid,22/04/09
Frontender,Madrid,11/03/15
Junior Frontend Ruby Developer,Barcelona,17/08/12
Desarrollador frontend JS,Sant Cugat del Vallès,07/05/13
Front End Lead Developer,Madrid,09/08/16
Frontend Developer,Madrid,04/04/12
Frontend Developer,Barcelona,25/05/15
Maquetador front-end,Barcelona,02/10/13
Maquetador Front End,Madrid,14/04/16
Programador Front-End,Madrid,17/09/15
Frontend Developer,Barcelona,06/06/16
Programador JS  Frontend-Backend,Madrid,25/11/14
Frontend Developer,Madrid,28/10/11
Frontend Developer,Barcelona,17/10/14
Buscamos Frontend con Javascript,Madrid,04/03/13
Desarrollador Front Senior con experiencia en Diseño Gráfico,Madrid,28/10/15
Director Dpto. Online Senior Front End Designer & Developer...,Madrid,16/04/15
Front-End Lead Ticketea,Madrid,06/02/12
Desarrollador Front End,Madrid,06/07/10
Desarrollador Front / JavaScript,Madrid,11/05/16
Programador Front,Madrid,06/04/16
Desarrollador Front-end,Barcelona,08/04/16
Si te gusta la cerveza y eres FrontEnd, estás de suerte,Bruselas
Frontend Engineer,Madrid,10/07/12
Desarrollador Front-End, Javascript,Madrid
FrontEnd Programmer,Barcelona,08/09/14
Lead Front End Developer,Madrid,12/03/12
Desarrollador HTML5 Frontend,Barcelona,05/10/12
Programador Front-end,Barcelona,25/08/16
Programador front-end para desarrollar web de música,Madrid,25/05/11
Front End Developer Maquetador HTML5,Murcia,02/07/15
Front-end Web Designer HTML & CSS,Alcobendas,11/05/15
FRONT-END Developer con conocimientos de diseño gráfico para ...,Indiferente,27/06/13
Front-end developer.,Madrid,26/03/12
Front-end developer / UI designer,Las Rozas,22/04/14
Front End Developer,Madrid,01/03/17
Front End Senior,Madrid,29/09/15
Programador/a Frontend HTML5 CSS, Javascript y JQuery,Madrid
PROGRAMADOR FRONT JUNIOR /ANIMADOR FLASH,Madrid,31/01/12
front-end developer ninja,Madrid,10/01/12
Programador PHP Frontend y backend Senior,Barcelona,21/07/16
Senior Front-end Developer,Barcelona,21/07/16
Frontend Web Developer,Madrid,26/08/14
Front-end,Madrid,05/09/16
Programador front-end HTML5, CSS3, Javascript
Programador Front,Madrid,18/01/17
Programador Front,Madrid,23/09/16
Diseñador UI/UX y programador Frontend,Barcelona,13/01/15
Programador front end,Barcelona,25/05/15
Front-End,Sant Cugat del Vallès,13/03/15
Diseñador Frontend,Barcelona,06/11/14
Programador PHP HTML CSS Front-end,Barcelona,29/08/16
Programador Front Creativo Senior (AS3),Madrid,01/09/11
Desarrollador front end (flash, javascript,html)
Ingeniero Frontend Javascript para Valencia,Valencia,07/02/17
Desarrollador Front End,Madrid,07/02/14
Frontend developer,Barcelona,14/08/13
Front End Developer,Barcelona,04/05/15
Desarrollador Frontend / WordPress,Barcelona,21/12/16
Desarrollador senior Backend/frontend,Madrid,19/02/15
Programador Front End (HTML, CSS y Javascript),A Coruña
Front end developer,Zaragoza,27/05/16
Front-end Jedi,Barcelona,19/02/15
Designer &amp; Front-End Developer,Barcelona,11/01/13
Diseñador(a) Website de Empresa / Front End Designer for a We...,Barcelona,17/03/11
Frontend Developer,Barcelona,08/09/16
Front-End Web Developer,Madrid,04/07/16
Junior Frontend Developer,Barcelona,13/02/14
Programador front,Madrid,02/02/11
Programador Front-End,Madrid,19/05/14
Front End Developer & Designer Web Senior (Presencial),Madrid,23/01/15
Front-End Developer,Madrid,28/03/16
Front End Developer (Javascript),Madrid,26/02/13
Programador Front-end,Lalín,25/09/14
Training Programador front-end,Madrid,02/03/11
Becario/a Programación Frontend (Maquetación),Barcelona,27/04/16
Desarrollador Front PHP,Madrid,14/10/16
Frontend Developer,Madrid,30/10/14
Frontend Developer,Barcelona,19/03/15
Desarrollar Front-End,Madrid,12/04/13
Front End Developer,Barcelona,18/05/16
Desarrollador Frontend en prácticas,Madrid,18/01/13
Programador Front End,Madrid,01/02/16
Ingeniero Frontal PHP,Barcelona,12/04/11
Innovative Backend (architect) and Frontend (designer),Barcelona,05/02/13
