puesto,ciudad,fecha
User Interface Design and Programming,Barcelona,15-06-10
Web Development,Barcelona,14-06-10
Programador PHP,Barcelona,05-07-10
Programador-Webmaster,Barcelona,01-07-10
Programador en prácticas (remunerado),Barcelona,30-06-10
Producer-Comercial,Barcelona,30-06-10
Desarrollador para iPhone,Barcelona,30-06-10
Programadores PHP,Barcelona,29-06-10
Programador-Webmaster,Barcelona,14-07-10
Graphic Designer freelance,Barcelona,13-07-10
Programador de Wordpress,Barcelona,09-07-10
Maquetador especialista en XHTML-CSS,Barcelona,09-07-10
e-Commerce Web Developer,Barcelona,07-07-10
Director de Arte online-offline,Barcelona,06-07-10
Técnico de Marketing online,Barcelona,06-07-10
Copywriter,Barcelona,06-07-10
Testeador Selenium,Barcelona,05-07-10
Programador Web,Barcelona,22-07-10
Experto en Flex y Java,Barcelona,21-07-10
Diseñador y programador Flash,Barcelona,21-07-10
Diseñador y Programador de Motion Graphics,Barcelona,21-07-10
Maquetador freelance para Artes Finales,Barcelona,21-07-10
Diseñador Gráfico freelance,Barcelona,21-07-10
Desarrolladores de aplicaciones móviles,Barcelona,21-07-10
Supervisor Creativo Interactivo,Barcelona,20-07-10
Director de proyecto Desarrollo de juegos sociales,Barcelona,04-08-10
Desarrollador HTML 5 Freelance,Barcelona,04-08-10
PROGRAMADOR EN .ASPX,Barcelona,03-08-10
Programador multimedia (AS PHP MySQL XHTML CSS Java...,Barcelona,30-07-10
Diseñadora grafica-Barcelona,Barcelona,29-07-10
Escaparatista,Barcelona,28-07-10
Supervisor de cuentas on-offline,Barcelona,27-07-10
Programadores PHP,Barcelona,27-07-10
Programador Web,Barcelona,20-08-10
Community Marketing Assistant (beca),Barcelona,20-08-10
Técnico de Servicio de Atención al Usuario,Barcelona,18-08-10
Retocador de Imagenes,Barcelona,18-08-10
programador flash AS3... PRESENCIAL,Barcelona,18-08-10
Se alquila Canon 5D Mark II con operador,Barcelona,16-08-10
SeriesYonkis: Diseñador Maquetador web,Barcelona,12-08-10
Social Game Designer,Barcelona,12-08-10
Buscamos: programador flash AS3,Barcelona,11-08-10
Buscamos: programador flash AS3,Barcelona,11-08-10
Vj,Barcelona,06-08-10
Diseñador gráfico Barcelona,Barcelona,31-08-10
Analista Funcional Banca para Barcelona,Barcelona,31-08-10
